APO01,1,2,3,6,7
APO01.01,1,2,3
APO13.01,1,2,4,5,11,6,7,8,1,2,3,5,11,1,2,3,5,1,2,3,5,8,6,7,8,1,2,3,5,1,2,3,5,6,7,1,2,3,5,9,4,5,9,10,11,8,9,10,6,10,11,9,10,11,4,5,9,10,11,2,4,5,11,1,2,3,6,1,2,3,1,2,3,6,7,6,7,8,9,6,7,8,1,2,3,3,6,5,6,7,5,6,7,11,2,5,11,6,7,8,3,4,5,6,7,8,1,5,6,7,6,7,11,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,1,2,3,4,5,9,10,11,2,6,8,2,6,8,4,5,4,5,1,2,3,5,11
APO13.02,1,2,3,5,6,7,1,2,3,5,4,5,9,10,11,9,10,11,2,4,5,11,1,2,3,6,1,2,3,1,2,3,2,5,11,6,7,8,6,7,8,10,6,7,9,10,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,5,6,7,6,7,11,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,1,2,3,4,5,9,10,11,2,6,8,2,6,8,4,5,4,5,1,2,3,5,11
APO13.03,6,10,1,2,3,6,1,2,3,6,7,8,9,6,7,8,3,6,5,6,7,5,6,7,11
BAI01.01,9,10,11
BAI02,6,7,8
BAI02.01,2,4,5,11,1,2,3,9,10,11,6,7,8
BAI02.03,4,5,11,2,4,5,11
BAI02.04,1,2,3,1,2,3,4,5,11,2,4,5,11,6,7,8
BAI03.01,1,2,4,5,11
BAI03.02,1,2,4,5,11,1,2,3,9,10,11
BAI03.03,1,2,4,5,11,1,2,3,9,10,11
BAI03.04,1,2,3,9,10,11
BAI03.05,1,2,4,5,11,1,2,3,9,10,11
BAI03.06,1,2,3
BAI03.07,9,10,11
BAI03.08,1,2,3
BAI03.09,4,5,11
BAI03.10,2,5,11
BAI04.01,1,2,3
BAI04.03,2,5,11
BAI04.04,2,5,11,1,2,3
BAI04.05,1,2,3
BAI06.01,1,2,3,1,2,3,1,2,3,5,11,1,2,3,11,4,5,11,9,10,11,2,4,5,11,4,5
BAI06.02,1,2,3,11,4,5
BAI06.03,1,2,3,11,4,5
BAI06.04,1,2,3,11,4,5
BAI07.01,1,2,3,11
BAI07.03,1,2,3,1,2,3,11
BAI07.04,1,2,3,11,9,10,11
BAI07.05,1,2,3,1,2,3,11,6,7,8
BAI07.06,1,2,3,11
BAI08,1,2,4,5,11
BAI09.01,11,9,8,9,10,9,10,11,1,2,3,6,7,9,10,11
BAI09.02,11,9,8,9,10,9,10,11
BAI09.03,11,9,8,9,10,11,9,10,11
BAI10,1,2,4,5,11,1,2,3,5,11
BAI10.01,1,2,3,2,4,5,11,6,7,11,1,2,3
BAI10.02,1,2,3,2,4,5,11,6,7,11,1,2,3
BAI10.03,1,2,3,6,7,11
DSS01.01,1,2,4,5,11,1,2,3,6,7,1,2,3,5,11,6,7,8,4,5
DSS01.02,6,7,8,4,5
DSS01.03,1,2,3,4,9,11,1,2,3,6,7,11,2,6,8,4,5
DSS01.04,1,2,3,4,9,11,1,2,3,1,2,3,1,2,3,1,2,3,5
DSS01.05,1,2,3,4,9,11,1,2,3,1,2,3,1,2,3,1,2,3,5,1,2,3,5
DSS02.01,6,7,11,2,6,8,2,6,8
DSS02.02,1,2,3,4,5,9,10,11,2,6,8
DSS02.04,2,6,8
DSS02.05,2,6,8
DSS02.06,2,6,8
DSS03.05,2,5,11,4,5
DSS04.01,1,2,3,1,2,3,1,2,3,11,1,2,3,5
DSS04.02,1,2,3,1,2,3,1,2,3,11
DSS04.03,1,2,3,1,2,3,4,9,11,1,2,3,11,1,2,3,5
DSS04.04,1,2,3,11
DSS04.05,1,2,3
DSS04.07,11,9,8,9,10
DSS05,6,7,8,4,5,9,10,11
DSS05.01,4,5,4,5,1,2,3,5,11
DSS05.02,1,2,3,5,8,4,5,9,10,11,3,4,5,6,7,8,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,1,2,3,4,5,9,10,11,1,2,3,5,11
DSS05.03,1,2,3,5,11,1,2,3,5,8,4,5,9,10,11,5,6,7,11,2,5,11,3,4,5,6,7,8,1,2,3,4,5,9,10,11,4,5,1,2,3,5,11
DSS05.04,1,2,3,5,11,1,2,3,5,9,8,9,10,1,2,3,6,7,8,6,7,8,10,6,7,9,10,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,2,3,4,5,9,10,11,1,2,3,5,11
DSS05.05,1,2,3,5,11,1,2,3,5,1,2,3,5,6,7,1,2,3,5,9,8,9,10,2,5,11,6,7,8,3,4,5,6,7,8,1,5,6,7,1,10,11,1,2,3,9,10,11,1,2,3,4,5,9,10,11
DSS05.06,6,7,8
DSS05.07,1,2,3,1,2,3,5,11,6,7,11,1,2,3,4,5,9,10,11,4,5
DSS06,4,5,9,10,11
DSS06.02,1,9,11
DSS06.03,1,2,3,5,11,1,2,3,5,6,7,1,2,3,5,6,7,8,6,7,8,10,6,7,9,10,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,2,3,4,5,9,10,11
DSS06.04,1,9,11
DSS06.05,6,7,11
DSS06.06,1,2,3,5,9,8,9,10,4,5,9,10,11,1,2,3,5,6,7,11,6,7,8,3,4,5,6,7,8,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,1,2,3,4,5,9,10,11
EDM03.02,1,2,3,6,7,9,10,11
EDM05.02,4,5,11
MEA01.03,6,7,8,10,6,7,8,6,7,8,9
MEA02.01,1,2,3,2,4,5,11,1,2,3
MEA02.02,1,2,3
MEA02.06,1,2,3
MEA02.07,1,2,3
MEA02.08,1,2,3
MEA03.01,1,2,3,1,2,3,1,2,4,5,11,11,1,2,3,1,2,3
MEA03.02,1,2,4,5,11,1,2,3,1,2,3
MEA03.03,1,2,3
